name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Mumbai,2023-01-01,28,18.7,23.6,27.9,18.7,23.6,14.6,58.5,0,0,0,,0,,32.8,17.2,327.2,1016,12.8,2.9,212.3,18.4,8,10,2023-01-01T07:11:44,2023-01-01T18:12:25,0.3,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
Mumbai,2023-01-02,30.6,18.7,24.9,30.5,18.7,25,16.2,60.4,0,0,0,,0,,31,17.2,333.6,1015,1.1,2.8,213.5,18.4,8,10,2023-01-02T07:12:05,2023-01-02T18:13:01,0.34,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
Mumbai,2023-01-03,29.4,19.7,24.7,30,19.7,24.8,17.2,64.3,0,0,0,,0,,32.4,18.4,301.1,1014.8,9.1,2.4,209.8,18.2,8,10,2023-01-03T07:12:24,2023-01-03T18:13:38,0.37,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
Mumbai,2023-01-04,29,19.3,24.5,29.7,19.3,24.6,16.8,63.5,0,0,0,,0,,25.9,16.7,279.2,1013.5,2.4,2.6,207.7,17.9,8,10,2023-01-04T07:12:42,2023-01-04T18:14:16,0.41,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
Mumbai,2023-01-05,30,21.8,25.8,31.3,21.8,26.2,17.5,60.8,0,0,0,,0,,24.5,13.1,344.1,1014.2,14.4,2.4,206.2,17.8,8,10,2023-01-05T07:12:59,2023-01-05T18:14:53,0.44,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
Mumbai,2023-01-06,32.1,23.3,27.6,32.4,23.3,28.1,18.4,58.6,0,0,0,,0,,25.9,17.1,64,1015.8,13.2,2.5,206.2,17.9,8,10,2023-01-06T07:13:14,2023-01-06T18:15:31,0.48,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
Mumbai,2023-01-07,31.3,24.6,27.7,32.6,24.6,28.6,19,59.9,0,0,0,,0,,36,14.8,44.1,1015.8,29.1,2.5,207.5,17.9,8,10,2023-01-07T07:13:29,2023-01-07T18:16:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
Mumbai,2023-01-08,31.4,24,27.4,30.8,24,27.3,16,51.3,0,0,0,,0,,35.3,14.8,31.3,1014.9,6.7,2.8,210.2,18.2,8,10,2023-01-08T07:13:43,2023-01-08T18:16:47,0.54,Clear,Clear conditions throughout the day.,clear-day,"VABB,VAJJ,43003099999,43057099999,43060099999"
Mumbai,2023-01-09,30.4,23,26.3,29.3,23,26,11.4,40.4,0,0,0,,0,,34.9,16.6,17,1015.9,0,3.2,216.5,18.7,8,10,2023-01-09T07:13:55,2023-01-09T18:17:26,0.58,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
Mumbai,2023-01-10,31.3,19.6,25.9,29.4,19.6,25.5,11.6,43.1,0,0,0,,0,,32,16,8.1,1015.2,0,3.1,225.5,19.3,8,10,2023-01-10T07:14:06,2023-01-10T18:18:04,0.61,Clear,Clear conditions throughout the day.,clear-day,"43058099999,VABB,VAJJ,43003099999,43057099999,43060099999"
